FOCUS
%B	B	f_value	queries	memory_mb_est	running_time_ms
1%	20.2975170481	796.16768	343567	35.6143531799	109.908459
2%	40.5950340961	984.62742	503235	38.6993865967	148.9845
3%	60.8925511442	1089.88376	625212	40.9657592773	178.590167
4%	81.1900681922	1235.934	729054	42.6088027954	199.073291
5%	101.48758524	1377.05666	817873	43.8841552734	214.005541
OFFLINE
%B	B	f_value	queries	memory_mb_est	running_time_ms
1%	20.2975170481	868.30422	1388383	10.9046087265	97.502667
2%	40.5950340961	1068.55784	1975644	10.9071760178	136.048542
3%	60.8925511442	1218.1624	2403892	10.9076452255	167.798709
4%	81.1900681922	1343.29062	2743384	10.9080305099	191.941083
5%	101.48758524	1450.56646	3038832	10.9083738327	212.204459
