%B	B	f_value	queries	memory_mb_est	running_time_ms
1%	20.2975170481	796.16768	7235843	43.5758857727	658.978125
2%	40.5950340961	984.62742	8647995	47.1728858948	857.892125
3%	60.8925511442	1089.88376	9458826	49.3270492554	1029.786834
4%	81.1900681922	1235.934	10082621	51.1210975647	1073.148834
5%	101.48758524	1377.05666	10608749	52.5193748474	1149.583584
1%	20.2975170481	796.16768	7235843	43.5758857727	644.822459
2%	40.5950340961	984.62742	8647995	47.1728858948	846.899041
3%	60.8925511442	1089.88376	9458826	49.3270492554	1034.935583
4%	81.1900681922	1235.934	10082621	51.1210975647	1121.837291
5%	101.48758524	1377.05666	10608749	52.5193748474	1411.4805
1%	20.2975170481	796.16768	343567	35.6143531799	109.908459
2%	40.5950340961	984.62742	503235	38.6993865967	148.9845
3%	60.8925511442	1089.88376	625212	40.9657592773	178.590167
4%	81.1900681922	1235.934	729054	42.6088027954	199.073291
5%	101.48758524	1377.05666	817873	43.8841552734	214.005541
