%B	B	eval_f_value	queries	memory_mb_est	running_time_ms
1%	20.2975170481	822.13845	224630	23.0091056824	64.508209
2%	40.5950340961	1045.57593	317082	24.594455719	81.694291
3%	60.8925511442	1191.30305	391108	25.7600898743	102.027084
4%	81.1900681922	1310.29199	459469	26.5491981506	115.290666
5%	101.48758524	1365.86863	522494	27.0282936096	121.602375
1%	20.2975170481	845.80699	191049	21.5144844055	53.863542
2%	40.5950340961	1044.04111	281524	22.9099998474	72.714333
3%	60.8925511442	1177.73201	351759	24.0080833435	92.254542
4%	81.1900681922	1304.47583	403444	24.5672950745	95.7495
5%	101.48758524	1406.46058	447950	25.1043167114	104.007333
1%	20.2975170481	845.40309	217913	22.2179756165	61.385417
2%	40.5950340961	1045.09125	320593	23.9023971558	81.361833
3%	60.8925511442	1181.93257	395846	24.9188079834	97.365
4%	81.1900681922	1303.82959	462114	25.6372642517	111.585458
5%	101.48758524	1406.94526	509859	26.2400283813	117.5065
