%B	B	f_value	queries	memory_mb_est	running_time_ms
1%	20.2975170481	868.30422	1388383	10.9046087265	97.502667
2%	40.5950340961	1068.55784	1975644	10.9071760178	136.048542
3%	60.8925511442	1218.1624	2403892	10.9076452255	167.798709
4%	81.1900681922	1343.29062	2743384	10.9080305099	191.941083
5%	101.48758524	1450.56646	3038832	10.9083738327	212.204459
1%	20.2975170481	868.30422	1388383	10.9046087265	95.329041
2%	40.5950340961	1068.55784	1975644	10.9071760178	135.444667
3%	60.8925511442	1218.1624	2403892	10.9076452255	176.421959
4%	81.1900681922	1343.29062	2743384	10.9080305099	190.875083
5%	101.48758524	1450.56646	3038832	10.9083738327	214.404459
1%	20.2975170481	868.30422	1388383	10.9046087265	94.748542
2%	40.5950340961	1068.55784	1975644	10.9071760178	135.657208
3%	60.8925511442	1218.1624	2403892	10.9076452255	166.745292
4%	81.1900681922	1343.29062	2743384	10.9080305099	190.658083
5%	101.48758524	1450.56646	3038832	10.9083738327	211.016583
