%B	B	eval_f_value	queries	memory_mb_est	running_time_ms
1%	20.2975170481	841.7276	1388383	10.9046087265	95.331125
2%	40.5950340961	1036.97286	1975644	10.9071760178	136.21925
3%	60.8925511442	1176.31836	2403892	10.9076452255	176.285584
4%	81.1900681922	1286.8254	2743384	10.9080305099	201.132792
5%	101.48758524	1382.59009	3038832	10.9083738327	213.486083
1%	20.2975170481	841.7276	1388383	10.9046087265	100.420083
2%	40.5950340961	1036.97286	1975644	10.9071760178	138.998375
3%	60.8925511442	1176.31836	2403892	10.9076452255	173.633292
4%	81.1900681922	1286.8254	2743384	10.9080305099	190.880917
5%	101.48758524	1382.59009	3038832	10.9083738327	216.560459
1%	20.2975170481	841.7276	1388383	10.9046087265	97.504584
2%	40.5950340961	1036.97286	1975644	10.9071760178	138.637875
3%	60.8925511442	1176.31836	2403892	10.9076452255	166.411333
4%	81.1900681922	1286.8254	2743384	10.9080305099	198.223292
5%	101.48758524	1382.59009	3038832	10.9083738327	214.335583
