budget_ratio	B	sum_mu	offline_f_value	offline_eval_f_value	offline_queries	offline_memory_mb_est	offline_running_time_ms	focus_f_value	focus_eval_f_value	focus_queries	focus_memory_mb_est	focus_running_time_ms
0.01	20.2975170481	2029.75170481	868.30422	841.7276	1388383	10.9046087265	95.331125	845.28192	822.13845	224630	23.0091056824	64.508209
0.02	40.5950340961	2029.75170481	1068.55784	1036.97286	1975644	10.9071760178	136.21925	1057.24864	1045.57593	317082	24.594455719	81.694291
0.03	60.8925511442	2029.75170481	1218.1624	1176.31836	2403892	10.9076452255	176.285584	1195.86712	1191.30305	391108	25.7600898743	102.027084
0.04	81.1900681922	2029.75170481	1343.29062	1286.8254	2743384	10.9080305099	201.132792	1309.20146	1310.29199	459469	26.5491981506	115.290666
0.05	101.48758524	2029.75170481	1450.56646	1382.59009	3038832	10.9083738327	213.486083	1426.1709	1365.86863	522494	27.0282936096	121.602375
0.01	20.2975170481	2029.75170481	868.30422	841.7276	1388383	10.9046087265	100.420083	854.57162	845.80699	191049	21.5144844055	53.863542
0.02	40.5950340961	2029.75170481	1068.55784	1036.97286	1975644	10.9071760178	138.998375	1044.32384	1044.04111	281524	22.9099998474	72.714333
0.03	60.8925511442	2029.75170481	1218.1624	1176.31836	2403892	10.9076452255	173.633292	1216.78914	1177.73201	351759	24.0080833435	92.254542
0.04	81.1900681922	2029.75170481	1343.29062	1286.8254	2743384	10.9080305099	190.880917	1332.95078	1304.47583	403444	24.5672950745	95.7495
0.05	101.48758524	2029.75170481	1450.56646	1382.59009	3038832	10.9083738327	216.560459	1431.09848	1406.46058	447950	25.1043167114	104.007333
0.01	20.2975170481	2029.75170481	868.30422	841.7276	1388383	10.9046087265	97.504584	855.0563	845.40309	217913	22.2179756165	61.385417
0.02	40.5950340961	2029.75170481	1068.55784	1036.97286	1975644	10.9071760178	138.637875	1045.2932	1045.09125	320593	23.9023971558	81.361833
0.03	60.8925511442	2029.75170481	1218.1624	1176.31836	2403892	10.9076452255	166.411333	1214.1234	1181.93257	395846	24.9188079834	97.365
0.04	81.1900681922	2029.75170481	1343.29062	1286.8254	2743384	10.9080305099	198.223292	1330.12348	1303.82959	462114	25.6372642517	111.585458
0.05	101.48758524	2029.75170481	1450.56646	1382.59009	3038832	10.9083738327	214.335583	1428.1904	1406.94526	509859	26.2400283813	117.5065
